Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
553,255777,256103,5.318823529,5.237647059,746,724
554,256133,256244,5.351666667,5.206666667,722,660
555,256352,257168,5.29195122,5.103714286,695,343
556,257237,257310,5.3725,NA,609,311
557,257753,258625,5.480454545,NA,899,301
558,259193,259264,5.6675,5.326666667,924,710
559,259313,259404,5.738,5.228,981,715
560,259615,259907,5.714,5.507333333,1048,747
561,259928,260025,5.608,5.452,1082,747
562,260110,260207,5.556,5.392,1159,697
563,260449,260581,5.682857143,5.351428571,978,721
564,260631,260785,5.66625,5.297142857,978,682
565,260892,261087,5.655,5.3225,1026,693
566,261152,261242,5.94,5.43,1202,660
567,261390,261586,5.746,5.144,974,668
568,261648,261746,5.668,5.318,941,691
569,261912,262121,5.633636364,5.278181818,894,681
570,262289,262380,5.514,5.252,784,638
571,262488,262586,5.674,5.162,844,663
572,262608,262705,5.688,5.376,847,677
573,262792,262944,5.75125,5.3025,841,717
574,262974,263065,5.836,5.352,877,715
575,263247,263506,5.51,5.232,771,368
576,263527,264139,5.563870968,5.216363636,813,378
577,264247,264343,5.552,NA,922,465
578,264370,264720,5.559444444,4.960588235,911,531
579,264806,264905,5.682,5.536,842,773
580,265171,265303,5.52,5.266,790,402
581,265346,265884,5.385185185,5.194285714,745,370
582,266166,266275,5.705,5.176666667,802,400
583,266306,266384,5.525,5.04,790,410
584,266406,266580,5.565555556,NA,824,383
585,266785,266961,5.605555556,4.976666667,762,423
586,267051,267183,5.727142857,5.13,778,421
587,267226,267398,5.531111111,NA,731,362
588,267428,267804,5.474736842,5.353333333,747,344
589,268310,268381,5.46,NA,727,354
590,268408,268599,5.479,NA,736,307
591,268766,268899,5.661428571,4.82,734,365
592,269027,269103,5.725,5.275,760,395
593,269124,269321,5.594,5.39,737,402
594,269352,269482,5.6,5.143333333,786,388
595,269663,269734,5.5425,NA,921,123
596,270265,270377,5.593333333,5.214,682,393
597,270405,270620,5.5,5.082727273,709,441
598,270845,270996,5.47,NA,906,206
599,271025,271253,5.28,NA,817,292
600,271664,271760,5.562,5.3,852,645
601,271882,271959,5.4175,5.37,890,725
602,271989,272079,5.388,5.354,916,747
603,272468,272620,5.2475,5.015,726,370
604,273203,273459,5.362307692,5.205454545,745,339
605,273485,273598,5.34,5.285,699,362
606,273787,273940,5.45125,5.0675,873,486
607,274026,274096,5.625,5.05,834,436
608,274146,274475,4.997647059,4.902941176,870,446
609,275205,275357,4.7425,4.74375,800,568
610,275527,275677,4.905,4.69,1020,413
611,275701,275778,4.8975,4.705,976,423
612,275808,276237,4.791363636,4.687727273,901,468
613,276367,276456,4.916,4.864,863,408
614,277279,277391,5.398333333,5.0925,991,637
615,277421,277856,5.444090909,5.0695,974,612
616,277878,277975,5.396,5.034,967,603
617,280162,280253,5.394,4.69,911,255
618,280281,280351,5.4625,4.6,927,280
619,280757,280891,5.405714286,4.964285714,805,541
620,281097,281932,5.500714286,5.333809524,947,803
621,282536,282612,5.3725,5.29,935,826
622,283435,283568,5.574285714,5.02,1083,473
623,283637,283748,5.566666667,5.11,1002,498
624,284354,284553,5.214,5.02,965,552
625,284623,284813,5.254,4.523333333,1092,489
626,284915,285553,5.501875,5.179375,856,407
627,285639,286072,5.359090909,5.124444444,778,364
628,286375,286488,5.67,5.21,1054,713
629,286517,286724,5.61,5.183333333,1091,669
630,287255,287489,5.480833333,4.835,913,438
631,293569,293964,5.2085,4.942631579,996,576
632,294351,294486,5.178571429,4.93,992,468
633,295110,295246,5.698571429,5.162857143,1088,697
634,295732,295822,5.498,4.77,872,438
635,295851,296258,5.612857143,4.783333333,954,465
636,296287,296805,5.707307692,4.74,1029,453
637,297009,297165,5.74125,NA,1258,248
638,297249,297326,5.44,NA,1167,257
639,297487,297640,5.84,5.248571429,876,614
640,297809,298039,5.396666667,4.89,769,250
641,298129,298402,5.775,5.4175,961,624
642,298429,298563,5.868571429,5.163333333,999,619
643,298648,298757,5.826666667,4.925,1145,556
644,298806,299005,5.73,4.91,1076,604
645,299167,299283,5.756666667,5.31,956,639
646,299393,299463,5.8925,5.1725,1046,632
647,299667,299765,5.764,NA,1245,616
648,299787,300044,5.760769231,NA,1204,604
649,300374,300485,5.52,NA,1272,479
650,301729,302143,5.28952381,5.15375,975,528
651,302206,302362,5.365,5.37875,836,583
652,302531,302621,5.47,5.1075,595,662
653,302870,303079,5.275454545,5.25,953,637
654,303109,303420,5.44,5.259230769,987,618
655,303489,303560,5.4225,5.18,1065,678
656,304285,304421,4.991428571,4.62,1347,655
657,304927,305140,4.976363636,4.678333333,1097,519
658,305165,305280,4.908333333,4.69,1043,499
659,305370,305440,4.895,4.7975,900,704
660,305749,305819,5.04,NA,775,198
661,307562,307679,4.975,4.43,1867,332
662,308547,308637,5.642,5.332,1364,93
663,308884,308959,5.595,5.203333333,863,623
664,309143,309397,5.659230769,5.345384615,777,445
665,309424,309598,5.698888889,5.33625,783,432
666,309628,309699,5.725,5.4075,804,466
667,311379,311472,5.556,5.2,999,561
668,311580,311937,5.548888889,5.271666667,879,506
669,312441,312757,5.496875,4.79,816,361
670,312858,313011,5.48625,4.67,933,437
671,313079,313594,5.604230769,5.11,1008,553
672,313659,313876,5.616363636,5.139090909,1018,641
673,314182,314255,5.3825,5.12,1482,8
674,314540,314735,5.413,4.57,1075,438
675,314877,314975,5.372,NA,1233,512
676,315040,315172,5.187142857,4.9825,958,467
677,315698,315775,5.4825,NA,1063,259
678,315840,315971,5.478571429,NA,1186,294
679,316036,316134,5.566,4.64,1050,457
680,316537,316652,5.746666667,5.5,1122,740
681,316696,316791,5.66,5.54,1207,778
682,316855,317014,5.54125,5.504285714,1189,744
683,317039,317153,5.555,5.47,1156,758
684,317262,317331,5.53,5.19,1036,775
685,317699,317769,5.5375,NA,1008,375
686,317798,317868,5.5675,4.68,1003,412
687,317977,318230,5.291538462,5.141538462,749,455
688,318556,318651,5.51,5.286666667,961,661
689,318816,318888,5.49,5.29,907,657
690,318974,319309,5.604705882,5.112857143,1054,653
691,320060,320491,5.315454545,4.64,787,335
692,320515,321008,5.498,4.213333333,878,305
693,321336,321426,5.74,5.33,1186,666
694,321834,321969,5.294285714,5.12,698,356
695,322055,322446,5.5855,4.74,995,327
696,322476,322705,5.740833333,NA,1025,319
697,322774,323168,5.546,NA,951,307
